,icu_days,preop_htn,preop_dm,preop_ecg,preop_pft,preop_hb,preop_plt,preop_pt,preop_aptt,preop_na,preop_k,preop_gluc,preop_alb,preop_ast,preop_alt,preop_bun,preop_cr,preop_ph,preop_hco3,preop_be,preop_pao2,preop_paco2,preop_sao2
icu_days,1.0,0.01394215869181843,0.0073165948667863094,-0.045039050831910364,-0.012489827159787349,-0.1741901965327594,-0.12481999592300569,-0.2681385771460154,0.17723330747948152,-0.17529273245517699,-0.07792802319522163,0.06407821907247974,-0.25519549135261294,0.17240704871426246,0.2738490813494362,0.1123282605592719,0.005873439466924493,0.01655081027834553,-0.01768518147848104,0.006267348531848032,-0.11108752298971128,-0.059569925912912665,-0.11274190036697189
preop_htn,0.01394215869181843,1.0,0.14674660298065664,-0.04377297586134436,-0.08598092091092625,-0.05069119882042695,-0.013814270754194525,0.09838399078776487,-0.04038896794224897,-0.025573026782071677,0.020250217211013093,0.12445839069524105,-0.06442631909119119,-0.0015840477402225203,-0.0012198241743280366,0.1896048385731831,0.1555110106728989,0.06444412207611729,0.05976747928916062,0.06334632081849348,0.013157707662384659,-0.09781245346350038,0.16314759640182894
preop_dm,0.0073165948667863094,0.14674660298065664,1.0,0.0014284688422690724,-0.03664538970446651,-0.05571466544748678,-0.023880976861975385,0.030542248778203752,0.03258912099876786,-0.06283398866112694,0.050881588285616536,0.3260636603606054,-0.060876692994842434,0.014642930825786235,0.00839208983497425,0.06918650436156812,0.04598083564176059,0.030279422764646256,-0.00975505756127602,-0.013028882269192429,0.010313516969436358,-0.05881315015622804,0.07116617971220447
preop_ecg,-0.045039050831910364,-0.04377297586134436,0.0014284688422690724,1.0,-0.004526188056957979,0.04545907984827999,0.023224041084763725,0.03997160286689941,-0.004072068730645252,0.025118806362384286,0.009100693747485709,-0.028552274989537434,0.07026043350423446,0.006067066563749877,0.009785862286380757,-0.05499363019475771,-0.027459831877067006,-0.025685151547645047,-0.02810695170030703,-0.026561579021444712,0.025717995066273636,0.043931627232117486,-0.022946086980111222
preop_pft,-0.012489827159787349,-0.08598092091092625,-0.03664538970446651,-0.004526188056957979,1.0,0.033665799498052096,0.042496617587477914,0.025785863236555823,-0.0015397035949102392,0.048854900779748966,-0.02897599014439074,-0.033405244640438175,0.10018715889369466,-0.02939777218330385,-0.020061201553527863,-0.0468058545095986,-0.018516796502269506,-0.02982392213598792,-0.06789429572763794,-0.05689975672424587,-0.10946577340084764,-0.002127326744739986,-0.16786168726257428
preop_hb,-0.1741901965327594,-0.05069119882042695,-0.05571466544748678,0.04545907984827999,0.033665799498052096,1.0,-0.051446885965369143,0.25701715210634063,-0.0847337280424592,0.24789327809689654,0.07245096116429779,-0.07883317634458742,0.6007871533476644,-0.12151105599399294,-0.1008802150385939,-0.24601136222983302,-0.1880965213426348,-0.02568917547199013,0.10981857688898329,0.12934469182445224,0.06505744627655781,0.11553232904610199,0.05086670738536343
preop_plt,-0.12481999592300569,-0.013814270754194525,-0.023880976861975385,0.023224041084763725,0.042496617587477914,-0.051446885965369143,1.0,0.10255343692050203,-0.11511698509552777,-0.027313854612276717,0.08376223986809667,-0.08477746161809276,0.03413473019144344,-0.0948869557946172,-0.12028913574688913,-0.1638670086156643,-0.11414616953075116,0.01927962822849322,0.013425248085016503,0.005418941467228281,-0.023201258587501643,0.014884806665688545,-0.04052546986547941
preop_pt,-0.2681385771460154,0.09838399078776487,0.030542248778203752,0.03997160286689941,0.025785863236555823,0.25701715210634063,0.10255343692050203,1.0,-0.3115695789165583,0.20030595519693759,0.15324880789626097,-0.012640153551880215,0.3700421730093865,-0.21165268285875505,-0.2276281063209307,0.0663506760938239,0.11363894910126754,-0.03119838255942577,-0.034176176652884985,-0.031275787993141006,0.010705127528447883,0.012208889299676826,0.028384695783845712
preop_aptt,0.17723330747948152,-0.04038896794224897,0.03258912099876786,-0.004072068730645252,-0.0015397035949102392,-0.0847337280424592,-0.11511698509552777,-0.3115695789165583,1.0,-0.08562848755538217,0.06249187782918597,-0.001974270032213424,-0.12953216957594424,0.1685924751732161,0.14254240256518924,0.02468945108128213,0.012778807233691397,0.024370220313388032,0.02802421263183346,0.02924769185133247,0.022424541258690405,-0.019941684432683886,0.012532760839513336
preop_na,-0.17529273245517699,-0.025573026782071677,-0.06283398866112694,0.025118806362384286,0.048854900779748966,0.24789327809689654,-0.027313854612276717,0.20030595519693759,-0.08562848755538217,1.0,-0.04318671604824144,-0.1755894743249993,0.35964319854280286,-0.07734119277688525,-0.09562104243548425,-0.1668328566086602,-0.1455459119605944,0.01515807187952891,0.036468540897409654,0.04043247004708655,0.07693343891878536,0.06310100663182246,0.0897155215710629
preop_k,-0.07792802319522163,0.020250217211013093,0.050881588285616536,0.009100693747485709,-0.02897599014439074,0.07245096116429779,0.08376223986809667,0.15324880789626097,0.06249187782918597,-0.04318671604824144,1.0,0.013120334691444692,0.1474920027900451,-0.011278417194781381,-0.046584799884012575,0.2226368865802664,0.23005739099569097,-0.06986001189020884,-0.06622699321972356,-0.08005354194925261,-0.007048014439866013,-0.013659825226379029,0.04570189024387656
preop_gluc,0.06407821907247974,0.12445839069524105,0.3260636603606054,-0.028552274989537434,-0.033405244640438175,-0.07883317634458742,-0.08477746161809276,-0.012640153551880215,-0.001974270032213424,-0.1755894743249993,0.013120334691444692,1.0,-0.14208294375978642,0.016835576686108203,0.04273669012355896,0.09701304679045476,0.020929248527727585,0.018397988943630584,0.0024272688736699227,-0.002673069903480341,-0.0027084431613057284,-0.0785433304502687,0.06302163007326475
preop_alb,-0.25519549135261294,-0.06442631909119119,-0.060876692994842434,0.07026043350423446,0.10018715889369466,0.6007871533476644,0.03413473019144344,0.3700421730093865,-0.12953216957594424,0.35964319854280286,0.1474920027900451,-0.14208294375978642,1.0,-0.15121858125630286,-0.16286146240322977,-0.169689141507439,-0.08080793709902143,-0.04816069843622343,0.026543038074759624,0.032032462417679666,0.07378142599860563,0.16606109011712036,0.03435960653457625
preop_ast,0.17240704871426246,-0.0015840477402225203,0.014642930825786235,0.006067066563749877,-0.02939777218330385,-0.12151105599399294,-0.0948869557946172,-0.21165268285875505,0.1685924751732161,-0.07734119277688525,-0.011278417194781381,0.016835576686108203,-0.15121858125630286,1.0,0.8318294650366567,0.09316874060559584,0.00034671327881813846,0.0030225430593475,0.0379034902594641,0.03759313207399715,0.004223311911777503,0.027115051906505996,0.02124382556055675
preop_alt,0.2738490813494362,-0.0012198241743280366,0.00839208983497425,0.009785862286380757,-0.020061201553527863,-0.1008802150385939,-0.12028913574688913,-0.2276281063209307,0.14254240256518924,-0.09562104243548425,-0.046584799884012575,0.04273669012355896,-0.16286146240322977,0.8318294650366567,1.0,0.10321056537983117,-0.013118239781373844,0.02173457335665876,0.026882239772886257,0.05334373246468552,-0.09115039394625113,-0.012529958027943025,-0.10482597567444996
preop_bun,0.1123282605592719,0.1896048385731831,0.06918650436156812,-0.05499363019475771,-0.0468058545095986,-0.24601136222983302,-0.1638670086156643,0.0663506760938239,0.02468945108128213,-0.1668328566086602,0.2226368865802664,0.09701304679045476,-0.169689141507439,0.09316874060559584,0.10321056537983117,1.0,0.7112522188071881,-0.009847130661802652,-0.1653604199916442,-0.1676600236370644,-0.05913628051968356,-0.10312352325402584,-0.09722678724892088
preop_cr,0.005873439466924493,0.1555110106728989,0.04598083564176059,-0.027459831877067006,-0.018516796502269506,-0.1880965213426348,-0.11414616953075116,0.11363894910126754,0.012778807233691397,-0.1455459119605944,0.23005739099569097,0.020929248527727585,-0.08080793709902143,0.00034671327881813846,-0.013118239781373844,0.7112522188071881,1.0,-0.047484871300605774,-0.10196608858324095,-0.11575589283976545,-0.08874497711650257,0.01608483083424916,-0.10670708473042861
preop_ph,0.01655081027834553,0.06444412207611729,0.030279422764646256,-0.025685151547645047,-0.02982392213598792,-0.02568917547199013,0.01927962822849322,-0.03119838255942577,0.024370220313388032,0.01515807187952891,-0.06986001189020884,0.018397988943630584,-0.04816069843622343,0.0030225430593475,0.02173457335665876,-0.009847130661802652,-0.047484871300605774,1.0,0.5045671187297054,0.569390438616563,0.06963867168515502,-0.6276587923358802,0.36113459758221655
preop_hco3,-0.01768518147848104,0.05976747928916062,-0.00975505756127602,-0.02810695170030703,-0.06789429572763794,0.10981857688898329,0.013425248085016503,-0.034176176652884985,0.02802421263183346,0.036468540897409654,-0.06622699321972356,0.0024272688736699227,0.026543038074759624,0.0379034902594641,0.026882239772886257,-0.1653604199916442,-0.10196608858324095,0.5045671187297054,1.0,0.9741438749948901,-0.008394578395805935,0.2925203727542785,0.20361565546954483
preop_be,0.006267348531848032,0.06334632081849348,-0.013028882269192429,-0.026561579021444712,-0.05689975672424587,0.12934469182445224,0.005418941467228281,-0.031275787993141006,0.02924769185133247,0.04043247004708655,-0.08005354194925261,-0.002673069903480341,0.032032462417679666,0.03759313207399715,0.05334373246468552,-0.1676600236370644,-0.11575589283976545,0.569390438616563,0.9741438749948901,1.0,-0.038224969518112405,0.251707002152728,0.16057497093555742
preop_pao2,-0.11108752298971128,0.013157707662384659,0.010313516969436358,0.025717995066273636,-0.10946577340084764,0.06505744627655781,-0.023201258587501643,0.010705127528447883,0.022424541258690405,0.07693343891878536,-0.007048014439866013,-0.0027084431613057284,0.07378142599860563,0.004223311911777503,-0.09115039394625113,-0.05913628051968356,-0.08874497711650257,0.06963867168515502,-0.008394578395805935,-0.038224969518112405,1.0,-0.12405204247934234,0.572350446930815
preop_paco2,-0.059569925912912665,-0.09781245346350038,-0.05881315015622804,0.043931627232117486,-0.002127326744739986,0.11553232904610199,0.014884806665688545,0.012208889299676826,-0.019941684432683886,0.06310100663182246,-0.013659825226379029,-0.0785433304502687,0.16606109011712036,0.027115051906505996,-0.012529958027943025,-0.10312352325402584,0.01608483083424916,-0.6276587923358802,0.2925203727542785,0.251707002152728,-0.12405204247934234,1.0,-0.3046895002955373
